# TargetDeployments.txt


##########################
##                      ##
##  Target deployments  ##
##                      ##
##########################

 Arch_OS_Bits_Compiler[_Feat.]    | Build         | License Model
                                  |  14.5.0: Tue Apr 11 16:12:42 PDT 2017; roo
                                  | t:xnu-2782.50.9.2.3~1/RELEASE_X86_64 x86_6
                                  | 4]
----------------------------------+--------------------------------------------
 x86-64_MacOS_64_clangV1200       | Apple clang version 12.0.0 (clang-1200.0.3
                                  | 2.29) (Target: x86_64-apple-darwin20.0.0)
                                  | as [Mach-O 64-bit executable x86_64] at sy
                                  | stime Fri Jun 13 13:01:46 CEST 2025 on [Da
                                  | rwin MacOS11_BigSur 20.0.0 Darwin Kernel V
                                  | ersion 20.0.0: Thu Jul 30 22:49:28 PDT 202
                                  | 0; root:xnu-7195.0.0.141.5~1/RELEASE_X86_6
                                  | 4 x86_64]
----------------------------------+--------------------------------------------
 x86-64_SunOS_64_ccV510           | cc: Sun C 5.10 SunOS_i386 Patch 142363-09
                                  | 2012/08/15 as [ELF 64-bit LSB executable A
                                  | MD64 Version 1 [SSE2 SSE FXSR CMOV FPU], d
                                  | ynamically linked, stripped] at systime Fr
                                  | i Jun 13 13:01:17 CEST 2025 on [SunOS SunO
                                  | Sx86 5.11 11.1 i86pc i386 Solaris]
----------------------------------+--------------------------------------------
 x86-64_SunOS_64_gccV343          | gcc version 3.4.3 (csl-sol210-3_4-branch+s
                                  | ol_rpath) as [ELF 64-bit LSB executable AM
                                  | D64 Version 1, dynamically linked, strippe
                                  | d] at systime Fri Jun 13 13:01:02 CEST 202
                                  | 5 on [SunOS SunOSx86 5.11 11.1 i86pc i386
                                  | Solaris]
----------------------------------+--------------------------------------------
 x86-64_Android_64_gccV49x        | gcc version 4.9.x 20150123 (prerelease) (G
                                  | CC) (cross-toolchain) (m64 x86_64-linux-an
                                  | droid -D__ANDROID_API__=26) as [ELF 64-bit
                                  |  LSB executable, x86-64, version 1 (SYSV),
                                  |  dynamically linked (uses shared libs), st
                                  | ripped] at systime Fri Jun 13 13:01:20 CES
                                  | T 2025 on [Linux Linux64core 5.10.0-6-amd6
                                  | 4 #1 SMP Debian 5.10.28-1 (2021-04-09) x86
                                  | _64 GNU/Linux]
----------------------------------+--------------------------------------------
 x86-64_Android_64_clangV503      | clang version 5.0.300080 (based on LLVM 5.
                                  | 0.300080) (cross-toolchain) (m64 x86_64-li
                                  | nux-android -D__ANDROID_API__=26) as [ELF
                                  | 64-bit LSB executable, x86-64, version 1 (
                                  | SYSV), dynamically linked (uses shared lib
                                  | s), stripped] at systime Fri Jun 13 13:01:
                                  | 17 CEST 2025 on [Linux Linux64core 5.10.0-
                                  | 6-amd64 #1 SMP Debian 5.10.28-1 (2021-04-0
                                  | 9) x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 Alpha_Tru64OSF1_64_ccV65303      | Compaq C V6.5-303 (dtk) on HP Tru64 UNIX V
                                  | 5.1B (Rev. 2650) Compiler Driver V6.5-302
                                  | (dtk) cc Driver as [COFF format alpha dyna
                                  | mically linked, demand paged executable or
                                  |  object module stripped - version 3.14-2]
                                  | at systime Fri Jun 13 13:01:27 CEST 2025 o
                                  | n [OSF1 DECtru64alpha V5.1 2650 alpha]
----------------------------------+--------------------------------------------
 Alpha_Tru64OSF1_64_gccV423       | gcc version 4.2.3 (alpha-dec-osf5.1b) as [
                                  | COFF format alpha dynamically linked, dema
                                  | nd paged executable or object module strip
                                  | ped - version 3.14-2] at systime Fri Jun 1
                                  | 3 13:01:46 CEST 2025 on [OSF1 DECtru64alph
                                  | a V5.1 2650 alpha]
----------------------------------+--------------------------------------------
 Alpha_Linux_64_gccV424           | gcc version 4.2.4 (Debian 4.2.4-6) as [ELF
                                  |  64-bit LSB executable, Alpha (unofficial)
                                  | , version 1 (SYSV), dynamically linked (us
                                  | es shared libs), for GNU/Linux 2.6.9, stri
                                  | pped] at systime Fri Jun 13 13:01:45 CEST
                                  | 2025 on [Linux AlphaLinux 2.6.26-2-alpha-g
                                  | eneric #1 Sun Mar 4 21:08:03 UTC 2012 alph
                                  | a]
----------------------------------+--------------------------------------------
 Alpha_Linux_64_gccV1021          | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 64-bit LSB executable, Alpha (
                                  | unofficial), version 1 (SYSV), dynamically
                                  |  linked (uses shared libs), for GNU/Linux
                                  | 3.2.0, stripped] at systime Fri Jun 13 13:
                                  | 03:41 CEST 2025 on [Linux AlphaServer 5.10
                                  | .0-8-alpha-smp #1 SMP Debian 5.10.46-1 (20
                                  | 21-06-24) alpha]
----------------------------------+--------------------------------------------
 Alpha_FreeBSD_64_gccV346         | gcc version 3.4.6 [FreeBSD] 20060305 (Conf
                                  | igured with: FreeBSD/alpha system compiler
                                  | ) as [ELF 64-bit LSB executable, Alpha (un
                                  | official), version 1 (FreeBSD), for FreeBS
                                  | D 6.4, dynamically linked (uses shared lib
                                  | s), FreeBSD-style, stripped] at systime Fr
                                  | i Jun 13 13:01:59 CEST 2025 on [FreeBSD Al
                                  | phaBSD 6.4-RELEASE FreeBSD 6.4-RELEASE #0:
                                  |  Sun Nov 30 07:00:37 UTC 2008 root@ds10.wb
                                  | net:/usr/obj/usr/src/sys/GENERIC alpha]
----------------------------------+--------------------------------------------
 Alpha_OpenBSD_64_gccV421         | gcc version 4.2.1 20070719 (OpenBSD/alpha
                                  | system compiler) as [ELF 64-bit LSB execut
                                  | able, Alpha (unofficial), version 1, dynam
                                  | ically linked (uses shared libs), for Open
                                  | BSD 6.6, stripped] at systime Fri Jun 13 1
                                  | 3:02:20 CEST 2025 on [OpenBSD OpenBSD66alp
                                  | ha.ALPHApurgatory.net 6.6 (GENERIC.MP) #74
                                  | 1: Sat Oct 12 05:34:08 MDT 2019 deraadt@al
                                  | pha.openbsd.org:/usr/src/sys/arch/alpha/co
                                  | mpile/GENERIC.MP alpha]
----------------------------------+--------------------------------------------
 IA-64_HP-UX_32_ccVa0628          | cc: HP C/aC++ B3910B A.06.28 [Nov 21 2013]
                                  |  as [ELF-32 executable object file - IA64]
                                  |  at systime Fri Jun 13 13:04:23 MESZ 2025
                                  | on [HP-UX IA64hpux B.11.31 U ia64 28971902
                                  | 01]
----------------------------------+--------------------------------------------
 IA-64_HP-UX_32_gccV472           | gcc version 4.7.2 (GCC) (ia64-hp-hpux11.31
                                  | ) as [ELF-32 executable object file - IA64
                                  | ] at systime Fri Jun 13 13:01:17 MESZ 2025
                                  |  on [HP-UX IA64hpux B.11.31 U ia64 2897190
                                  | 201]
----------------------------------+--------------------------------------------
 IA-64_HP-UX_64_ccVa0628          | cc: HP C/aC++ B3910B A.06.28 [Nov 21 2013]
                                  |  as [ELF-64 executable object file - IA64]
                                  |  at systime Fri Jun 13 13:04:20 MESZ 2025
                                  | on [HP-UX IA64hpux B.11.31 U ia64 28971902
                                  | 01]
----------------------------------+--------------------------------------------
 IA-64_HP-UX_64_gccV472           | gcc version 4.7.2 (GCC) (ia64-hp-hpux11.31
                                  | ) as [ELF-64 executable object file - IA64
                                  | ] at systime Fri Jun 13 13:02:27 MESZ 2025
                                  |  on [HP-UX IA64hpux B.11.31 U ia64 2897190
                                  | 201]
----------------------------------+--------------------------------------------
 IA-64_Linux_64_gccV412           | gcc version 4.1.2 20080704 (Red Hat 4.1.2-
                                  | 50) as [ELF 64-bit LSB executable, IA-64,
                                  | version 1 (SYSV), dynamically linked (uses
                                  |  shared libs), for GNU/Linux 2.6.9, stripp
                                  | ed] at systime Fri Jun 13 13:01:13 CEST 20
                                  | 25 on [Linux LinuxIA64 2.6.18-238.el5 #1 S
                                  | MP Sun Dec 19 14:23:48 EST 2010 ia64]
----------------------------------+--------------------------------------------
 IA-64_Linux_64_gccV463           | gcc version 4.6.3 (Debian 4.6.3-14) as [EL
                                  | F 64-bit LSB executable, IA-64, version 1
                                  | (SYSV), dynamically linked (uses shared li
                                  | bs), for GNU/Linux 2.6.26, stripped] at sy
                                  | stime Fri Jun 13 13:02:14 CEST 2025 on [Li
                                  | nux IA64-Linux 2.6.32-5-mckinley #1 SMP Tu
                                  | e May 13 19:10:46 UTC 2014 ia64]
----------------------------------+--------------------------------------------
 IA-64_Linux_64_gccV1021          | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6+b1) as [ELF 64-bit LSB executable, IA-6
                                  | 4, version 1 (SYSV), dynamically linked (u
                                  | ses shared libs), for GNU/Linux 3.2.18, st
                                  | ripped] at systime Fri Jun 13 13:02:04 CES
                                  | T 2025 on [Linux SR870BN4-Linux 5.10.0-8-m
                                  | ckinley #1 SMP Debian 5.10.46-1 (2021-06-2
                                  | 4) ia64]
----------------------------------+--------------------------------------------
 IA-64_FreeBSD_64_gccV421         | gcc version 4.2.1 20070831 patched [FreeBS
                                  | D] (Configured with: FreeBSD/ia64 system c
                                  | ompiler) as [ELF 64-bit LSB executable, IA
                                  | -64, version 1 (FreeBSD), dynamically link
                                  | ed (uses shared libs), for FreeBSD 10.3, s
                                  | tripped] at systime Fri Jun 13 13:01:45 CE
                                  | ST 2025 on [FreeBSD ItaniumBSD 10.3-RELEAS
                                  | E FreeBSD 10.3-RELEASE #0 r297264: Fri Mar
                                  |  25 04:43:22 UTC 2016 root@releng1.nyi.fre
                                  | ebsd.org:/usr/obj/ia64.ia64/usr/src/sys/GE
                                  | NERIC ia64]
----------------------------------+--------------------------------------------
 XeonPhiMIC_Linux_64_iccVxe2017u5 | icc version 17.0.5 (gcc version 4.8.5 comp
                                  | atibility) Intel(R) C Intel(R) 64 Compiler
                                  |  for applications running on Intel(R) 64,
                                  | Version 17.0.5.239 Build 20170817 (Copyrig
                                  | ht (C) 1985-2017 Intel Corporation. All ri
                                  | ghts reserved.) as [ELF 64-bit LSB executa
                                  | ble, Intel K1OM, version 1 (SYSV), dynamic
                                  | ally linked (uses shared libs), for GNU/Li
                                  | nux 2.6.32, stripped] at systime Fri Jun 1
                                  | 3 13:01:26 CEST 2025 on [Linux RedHatELS72
                                  | VM 3.10.0-327.el7.x86_64 #1 SMP Thu Oct 29
                                  |  17:29:29 EDT 2015 x86_64]
----------------------------------+--------------------------------------------
 XeonPhiMIC_Linux_64_gccV470      | gcc version 4.7.0 20110509 (experimental)
                                  | 4.7.0 (GCC) (cross-toolchain) as [ELF 64-b
                                  | it LSB executable, Intel K1OM, version 1 (
                                  | SYSV), dynamically linked (uses shared lib
                                  | s), for GNU/Linux 2.6.32, stripped] at sys
                                  | time Fri Jun 13 13:01:17 CEST 2025 on [Lin
                                  | ux RedHatELS72VM 3.10.0-327.el7.x86_64 #1
                                  | SMP Thu Oct 29 17:29:29 EDT 2015 x86_64]
----------------------------------+--------------------------------------------
 MCSTelbrus_Linux_32_lccV120      | lcc:1.20.17:Mar-3-2016:e2k-generic-linux (
                                  | gcc version 4.4.0 compatible) as [ELF 32-b
                                  | it LSB executable, MCST Elbrus, version 1
                                  | (SYSV), dynamically linked (uses shared li
                                  | bs), for GNU/Linux 2.6.33, stripped] at sy
                                  | stime Fri Jun 13 14:04:23 MSK 2025 on [Lin
                                  | ux debian4babayan-64 2.6.33-elbrus.033.3.4
                                  | 2 #1 SMP Thu Apr 23 22:28:28 MSK 2015 e2k]
----------------------------------+--------------------------------------------
 MCSTelbrus_Linux_32_lccV125      | lcc:1.25.14:Feb-13-2021:e2k-v4-linux (gcc
                                  | version 7.3.0 compatible) as [ELF 32-bit L
                                  | SB executable, MCST Elbrus, version 1 (SYS
                                  | V), dynamically linked (uses shared libs),
                                  |  for GNU/Linux 2.6.33, stripped] at systim
                                  | e Fri Jun 13 14:07:13 MSK 2025 on [Linux c
                                  | hassis0CF-babayan-elbrus804 5.4.0-1.9-e8c
                                  | #1 SMP Thu Oct 29 07:34:25 GMT 2020 e2k E8
                                  | C]
----------------------------------+--------------------------------------------
 MCSTelbrus_Linux_64_lccV120      | lcc:1.20.17:Mar-3-2016:e2k-generic-linux (
                                  | gcc version 4.4.0 compatible) as [ELF 64-b
                                  | it LSB executable, MCST Elbrus, version 1
                                  | (SYSV), dynamically linked (uses shared li
                                  | bs), for GNU/Linux 2.6.33, stripped] at sy
                                  | stime Fri Jun 13 14:03:28 MSK 2025 on [Lin
                                  | ux debian4babayan-64 2.6.33-elbrus.033.3.4
                                  | 2 #1 SMP Thu Apr 23 22:28:28 MSK 2015 e2k]
----------------------------------+--------------------------------------------
 MCSTelbrus_Linux_64_lccV125      | lcc:1.25.14:Feb-13-2021:e2k-v4-linux (gcc
                                  | version 7.3.0 compatible) as [ELF 64-bit L
                                  | SB executable, MCST Elbrus, version 1 (SYS
                                  | V), dynamically linked (uses shared libs),
                                  |  for GNU/Linux 2.6.33, stripped] at systim
                                  | e Fri Jun 13 14:07:28 MSK 2025 on [Linux c
                                  | hassis0CF-babayan-elbrus804 5.4.0-1.9-e8c
                                  | #1 SMP Thu Oct 29 07:34:25 GMT 2020 e2k E8
                                  | C]
----------------------------------+--------------------------------------------
 PA-RISC_HP-UX_32_ccVc0370        | HP ANSI C / C++ B3910B C.03.70 (HP92453-01
                                  |  B.11.11.16 HP C Compiler) as [PA-RISC1.1
                                  | shared executable dynamically linked] at s
                                  | ystime Fri Jun 13 13:02:02 METDST 2025 on
                                  | [HP-UX c8k-HPUX B.11.23 U 9000/785 4042425
                                  | 048]
----------------------------------+--------------------------------------------
 PA-RISC_HP-UX_32_gccV471         | gcc version 4.7.1 (GCC) (hppa1.1-hp-hpux11
                                  | .11) as [PA-RISC1.1 shared executable dyna
                                  | mically linked] at systime Fri Jun 13 13:0
                                  | 2:08 METDST 2025 on [HP-UX c8k-HPUX B.11.2
                                  | 3 U 9000/785 4042425048]
----------------------------------+--------------------------------------------
 PA-RISC_HP-UX_64_ccVc0370        | HP ANSI C / C++ B3910B C.03.70 (HP92453-01
                                  |  B.11.11.16 HP C Compiler) as [ELF-64 exec
                                  | utable object file - PA-RISC 2.0 (LP64) /
                                  | HPPA64 (PA-RISC2.0W)] at systime Fri Jun 1
                                  | 3 13:02:01 METDST 2025 on [HP-UX c8k-HPUX
                                  | B.11.23 U 9000/785 4042425048]
----------------------------------+--------------------------------------------
 PA-RISC_HP-UX_64_gccV471         | gcc version 4.7.1 (GCC) (hppa64-hp-hpux11.
                                  | 11) as [ELF-64 executable object file - PA
                                  | -RISC 2.0 (LP64) / HPPA64 (PA-RISC2.0W)] a
                                  | t systime Fri Jun 13 13:02:00 METDST 2025
                                  | on [HP-UX c8k-HPUX B.11.23 U 9000/785 4042
                                  | 425048]
----------------------------------+--------------------------------------------
 PA-RISC_Linux_32_gccV492         | gcc version 4.9.2 (Debian 4.9.2-10+b2) as
                                  | [ELF 32-bit MSB executable, PA-RISC, versi
                                  | on 1 (GNU/Linux), dynamically linked (uses
                                  |  shared libs), for GNU/Linux 2.6.32, strip
                                  | ped] at systime Fri Jun 13 13:01:59 CEST 2
                                  | 025 on [Linux c8k-Linux 3.16.0-4-parisc64-
                                  | smp #1 SMP Debian 3.16.7-ckt4-3 (2015-02-0
                                  | 3) parisc64]
----------------------------------+--------------------------------------------
 PA-RISC_Linux_32_gccV1021        | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 32-bit MSB executable, PA-RISC
                                  | , version 1 (GNU/Linux), dynamically linke
                                  | d (uses shared libs), for GNU/Linux 3.2.0,
                                  |  stripped] at systime Fri Jun 13 13:02:24
                                  | CEST 2025 on [Linux c8k-Linux 5.10.0-8-par
                                  | isc64 #1 SMP Debian 5.10.46-1 (2021-06-24)
                                  |  parisc64]
----------------------------------+--------------------------------------------
 SPARC_SunOS_32_ccV510            | cc: Sun C 5.10 SunOS_sparc Patch 141861-09
                                  |  2012/08/15 as [ELF 32-bit MSB executable
                                  | SPARC32PLUS Version 1, V8+ Required, dynam
                                  | ically linked, stripped] at systime Fri Ju
                                  | n 13 13:02:30 CEST 2025 on [SunOS SunOS_Ul
                                  | tra45 5.10 Generic_147147-26 sun4u sparc]
----------------------------------+--------------------------------------------
 SPARC_SunOS_32_gccV343           | gcc version 3.4.3 (csl-sol210-3_4-branch+s
                                  | ol_rpath) as [ELF 32-bit MSB executable SP
                                  | ARC Version 1, dynamically linked, strippe
                                  | d] at systime Fri Jun 13 13:01:08 CEST 202
                                  | 5 on [SunOS SunOS_Ultra45 5.10 Generic_147
                                  | 147-26 sun4u sparc]
----------------------------------+--------------------------------------------
 SPARC_SunOS_64_ccV510            | cc: Sun C 5.10 SunOS_sparc Patch 141861-09
                                  |  2012/08/15 as [ELF 64-bit MSB executable
                                  | SPARCV9 Version 1, dynamically linked, str
                                  | ipped] at systime Fri Jun 13 13:02:30 CEST
                                  |  2025 on [SunOS SunOS_Ultra45 5.10 Generic
                                  | _147147-26 sun4u sparc]
----------------------------------+--------------------------------------------
 SPARC_SunOS_64_gccV343           | gcc version 3.4.3 (csl-sol210-3_4-branch+s
                                  | ol_rpath) as [ELF 64-bit MSB executable SP
                                  | ARCV9 Version 1, dynamically linked, strip
                                  | ped] at systime Fri Jun 13 13:01:08 CEST 2
                                  | 025 on [SunOS SunOS_Ultra45 5.10 Generic_1
                                  | 47147-26 sun4u sparc]
----------------------------------+--------------------------------------------
 SPARC_Linux_32_gccV1021          | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 32-bit MSB executable, SPARC32
                                  | PLUS, V8+ Required, total store ordering,
                                  | version 1 (SYSV), dynamically linked (uses
                                  |  shared libs), for GNU/Linux 3.2.0, stripp
                                  | ed] at systime Fri Jun 13 13:01:27 CEST 20
                                  | 25 on [Linux LinuxSPARC64 5.10.0-8-sparc64
                                  | -smp #1 SMP Debian 5.10.46-1 (2021-06-24)
                                  | sparc64]
----------------------------------+--------------------------------------------
 SPARC_Linux_32_clangV1101        | Debian clang version 11.0.1-2 as [ELF 32-b
                                  | it MSB executable, SPARC32PLUS, V8+ Requir
                                  | ed, total store ordering, version 1 (SYSV)
                                  | , dynamically linked (uses shared libs), f
                                  | or GNU/Linux 3.2.0, stripped] at systime F
                                  | ri Jun 13 13:01:27 CEST 2025 on [Linux Lin
                                  | uxSPARC64 5.10.0-8-sparc64-smp #1 SMP Debi
                                  | an 5.10.46-1 (2021-06-24) sparc64]
----------------------------------+--------------------------------------------
 SPARC_Linux_64_gccV1021          | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 64-bit MSB executable, SPARC V
                                  | 9, relaxed memory ordering, version 1 (SYS
                                  | V), dynamically linked (uses shared libs),
                                  |  for GNU/Linux 3.2.0, stripped] at systime
                                  |  Fri Jun 13 13:02:57 CEST 2025 on [Linux L
                                  | inuxSPARC64 5.10.0-8-sparc64-smp #1 SMP De
                                  | bian 5.10.46-1 (2021-06-24) sparc64]
----------------------------------+--------------------------------------------
 SPARC_Linux_64_clangV1101        | Debian clang version 11.0.1-2 as [ELF 64-b
                                  | it MSB executable, SPARC V9, relaxed memor
                                  | y ordering, version 1 (SYSV), dynamically
                                  | linked (uses shared libs), for GNU/Linux 3
                                  | .2.0, stripped] at systime Fri Jun 13 13:0
                                  | 3:27 CEST 2025 on [Linux LinuxSPARC64 5.10
                                  | .0-8-sparc64-smp #1 SMP Debian 5.10.46-1 (
                                  | 2021-06-24) sparc64]
----------------------------------+--------------------------------------------
 SPARC_FreeBSD_64_gccV421         | gcc version 4.2.1 20070831 patched [FreeBS
                                  | D] (Configured with: FreeBSD/sparc64 syste
                                  | m compiler) as [ELF 64-bit MSB executable,
                                  |  SPARC V9, relaxed memory ordering, versio
                                  | n 1 (FreeBSD), dynamically linked, FreeBSD
                                  | -style, for FreeBSD 12.1, stripped] at sys
                                  | time Fri Jun 13 13:05:31 CEST 2025 on [Fre
                                  | eBSD SparcBSD 12.1-RELEASE FreeBSD 12.1-RE
                                  | LEASE r354233 GENERIC sparc64]
----------------------------------+--------------------------------------------
 SPARC_OpenBSD_64_gccV830         | gcc version 8.3.0 (GCC) as [ELF 64-bit MSB
                                  |  executable, SPARC V9, version 1, dynamica
                                  | lly linked (uses shared libs), for OpenBSD
                                  |  6.6, stripped] at systime Fri Jun 13 13:1
                                  | 0:11 CEST 2025 on [OpenBSD OpenBSD66VM.ESX
                                  | srv.net 6.6 (GENERIC.MP) #86: Sat Oct 12 0
                                  | 9:59:04 MDT 2019 deraadt@sparc64.openbsd.o
                                  | rg:/usr/src/sys/arch/sparc64/compile/GENER
                                  | IC.MP sparc64]
----------------------------------+--------------------------------------------
 SPARC_OpenBSD_64_clangV801       | clang version 8.0.1 (tags/RELEASE_801/fina
                                  | l) (based on LLVM 8.0.1) as [ELF 64-bit MS
                                  | B executable, SPARC V9, version 1, dynamic
                                  | ally linked (uses shared libs), for OpenBS
                                  | D 6.6, stripped] at systime Fri Jun 13 13:
                                  | 07:45 CEST 2025 on [OpenBSD OpenBSD66VM.ES
                                  | Xsrv.net 6.6 (GENERIC.MP) #86: Sat Oct 12
                                  | 09:59:04 MDT 2019 deraadt@sparc64.openbsd.
                                  | org:/usr/src/sys/arch/sparc64/compile/GENE
                                  | RIC.MP sparc64]
----------------------------------+--------------------------------------------
 MIPS_IRIX_32_ccV744m             | MIPSpro Compilers: Version 7.4.4m as [ELF
                                  | N32 MSB mips-4 dynamic executable MIPS - v
                                  | ersion 1] at systime Fri Jun 13 13:02:10 M
                                  | ET DST 2025 on [IRIX64 SGImipsIRIX 6.5 072
                                  | 02013 IP35]
----------------------------------+--------------------------------------------
 MIPS_IRIX_32_gccV471             | gcc version 4.7.1 (GCC) (mips-sgi-irix6.5)
                                  |  as [ELF N32 MSB mips-4 dynamic executable
                                  |  MIPS - version 1] at systime Fri Jun 13 1
                                  | 3:01:41 MET DST 2025 on [IRIX64 SGImipsIRI
                                  | X 6.5 07202013 IP35]
----------------------------------+--------------------------------------------
 MIPS_IRIX_64_ccV744m             | MIPSpro Compilers: Version 7.4.4m as [ELF
                                  | 64-bit MSB mips-4 dynamic executable MIPS
                                  | - version 1] at systime Fri Jun 13 13:02:1
                                  | 0 MET DST 2025 on [IRIX64 SGImipsIRIX 6.5
                                  | 07202013 IP35]
----------------------------------+--------------------------------------------
 MIPS_IRIX_64_gccV471             | gcc version 4.7.1 (GCC) (mips-sgi-irix6.5)
                                  |  as [ELF 64-bit MSB mips-4 dynamic executa
                                  | ble MIPS - version 1] at systime Fri Jun 1
                                  | 3 13:03:49 MET DST 2025 on [IRIX64 SGImips
                                  | IRIX 6.5 07202013 IP35]
----------------------------------+--------------------------------------------
 MIPS_Linux_32_gccV930            | gcc version 9.3.0 (GCC) (cross-toolchain)
                                  | as [ELF 32-bit MSB executable, MIPS, MIPS-
                                  | I version 1 (SYSV), dynamically linked (us
                                  | es shared libs), for GNU/Linux 3.2.0, stri
                                  | pped] at systime Fri Jun 13 13:01:19 CEST
                                  | 2025 on [Linux IBMpowerCHRP 5.10.0-8-power
                                  | pc64 #1 SMP Debian 5.10.46-1 (2021-06-24)
                                  | ppc64]
----------------------------------+--------------------------------------------
 MIPS_Linux_32_gccV830_sgi        | gcc version 8.3.0 (Gentoo 8.3.0 p1.0) as [
                                  | ELF 32-bit MSB executable, MIPS, N32 MIPS-
                                  | IV version 1 (SYSV), dynamically linked (u
                                  | ses shared libs), for GNU/Linux 3.2.0, str
                                  | ipped] at systime Fri Jun 13 13:07:46 CEST
                                  |  2025 on [Linux SGIserver 4.12.0 #1 SMP Mo
                                  | n Feb 25 13:10:05 CET 2019 mips64 R12000 V
                                  | 2.3 FPU V0.0 SGI Octane2]
----------------------------------+--------------------------------------------
 MIPS_Linux_64_gccV930            | gcc version 9.3.0 (GCC) (cross-toolchain)
                                  | as [ELF 64-bit MSB executable, MIPS, MIPS-
                                  | III version 1 (SYSV), dynamically linked (
                                  | uses shared libs), for GNU/Linux 3.2.0, st
                                  | ripped] at systime Fri Jun 13 13:01:18 CES
                                  | T 2025 on [Linux IBMpowerCHRP 5.10.0-8-pow
                                  | erpc64 #1 SMP Debian 5.10.46-1 (2021-06-24
                                  | ) ppc64]
----------------------------------+--------------------------------------------
 MIPSel_Linux_32_gccV930          | gcc version 9.3.0 (GCC) (cross-toolchain)
                                  | as [ELF 32-bit LSB executable, MIPS, MIPS-
                                  | I version 1 (SYSV), dynamically linked (us
                                  | es shared libs), for GNU/Linux 3.2.0, stri
                                  | pped] at systime Fri Jun 13 13:01:19 CEST
                                  | 2025 on [Linux IBMpowerCHRP 5.10.0-8-power
                                  | pc64 #1 SMP Debian 5.10.46-1 (2021-06-24)
                                  | ppc64]
----------------------------------+--------------------------------------------
 MIPSel_Linux_64_gccV930          | gcc version 9.3.0 (GCC) (cross-toolchain)
                                  | as [ELF 64-bit LSB executable, MIPS, MIPS-
                                  | III version 1 (SYSV), dynamically linked (
                                  | uses shared libs), for GNU/Linux 3.2.0, st
                                  | ripped] at systime Fri Jun 13 13:01:18 CES
                                  | T 2025 on [Linux IBMpowerCHRP 5.10.0-8-pow
                                  | erpc64 #1 SMP Debian 5.10.46-1 (2021-06-24
                                  | ) ppc64]
----------------------------------+--------------------------------------------
 MIPSel_Android_32_gccV49x        | gcc version 4.9.x 20150123 (prerelease) (G
                                  | CC) (cross-toolchain) (mips32 mipsel-linux
                                  | -android -D__ANDROID_API__=26) as [ELF 32-
                                  | bit LSB executable, MIPS, MIPS32 version 1
                                  |  (SYSV), dynamically linked (uses shared l
                                  | ibs), stripped] at systime Fri Jun 13 13:0
                                  | 1:20 CEST 2025 on [Linux Linux64core 5.10.
                                  | 0-6-amd64 #1 SMP Debian 5.10.28-1 (2021-04
                                  | -09) x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 MIPSel_Android_32_clangV503      | clang version 5.0.300080 (based on LLVM 5.
                                  | 0.300080) (cross-toolchain) (mips32 mipsel
                                  | -linux-android -D__ANDROID_API__=26) as [E
                                  | LF 32-bit LSB executable, MIPS, MIPS32 ver
                                  | sion 1 (SYSV), dynamically linked (uses sh
                                  | ared libs), stripped] at systime Fri Jun 1
                                  | 3 13:01:12 CEST 2025 on [Linux Linux64core
                                  |  5.10.0-6-amd64 #1 SMP Debian 5.10.28-1 (2
                                  | 021-04-09) x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 MIPSel_Android_64_gccV49x        | gcc version 4.9.x 20150123 (prerelease) (G
                                  | CC) (cross-toolchain) (mips64 mips64el-lin
                                  | ux-android -D__ANDROID_API__=26) as [ELF 6
                                  | 4-bit LSB executable, MIPS, version 1 (SYS
                                  | V), dynamically linked (uses shared libs),
                                  |  stripped] at systime Fri Jun 13 13:01:21
                                  | CEST 2025 on [Linux Linux64core 5.10.0-6-a
                                  | md64 #1 SMP Debian 5.10.28-1 (2021-04-09)
                                  | x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 MIPSel_Android_64_clangV503      | clang version 5.0.300080 (based on LLVM 5.
                                  | 0.300080) (cross-toolchain) (mips64 mips64
                                  | el-linux-android -D__ANDROID_API__=26) as
                                  | [ELF 64-bit LSB executable, MIPS, version
                                  | 1 (SYSV), dynamically linked (uses shared
                                  | libs), stripped] at systime Fri Jun 13 13:
                                  | 01:13 CEST 2025 on [Linux Linux64core 5.10
                                  | .0-6-amd64 #1 SMP Debian 5.10.28-1 (2021-0
                                  | 4-09) x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 PowerPC_AIX_32_xlcV1313          | IBM XL C/C++ for AIX, V13.1.3 (5725-C72, 5
                                  | 765-J07) Version: 13.01.0003.0000 as [exec
                                  | utable (RISC System/6000) or object module
                                  | ] at systime Fri Jun 13 13:02:27 CEST 2025
                                  |  on [AIX IBMpowerCHRP 1 7 00F68D574C00]
----------------------------------+--------------------------------------------
 PowerPC_AIX_32_gccV494           | gcc version 4.9.4 (GCC) (powerpc-ibm-aix7.
                                  | 1.0.0) as [executable (RISC System/6000) o
